abandon/’bndn/ vt.丢弃;放弃，抛弃
aboard/’b:d/ ad.在船(车)上;上船
absolute/‘bslu:t/ a.绝对的;纯粹的
absolutely/‘bslu:tli/ ad.完全地;绝对地
absorb/b’s:b/ vt.吸收;使专心
abstract/’bstrkt/ n.摘要
abundant/’bΛndnt/ a.丰富的;大量的
abuse/’bju:z,’bju:s/ vt.滥用;虐待n.滥用
academic/k’demik/ a.学院的;学术的
accelerate/k’selreit/ vt.(使)加快;促进
access/‘kses/ n.接近;通道，入口
accidental/ksi’dentl/ a.偶然的;非本质的
accommodate/’kmdeit/ vt.容纳;供应，供给
accommodation/,km’dein/ n.招待设备;预定铺位
accompany/’kΛmpni/ vt.陪伴，陪同;伴随
accomplish/’kmpli/ vt.达到(目的);完成
accordance/’kr:dns/ n.一致;和谐;授予
accordingly/’kr:dili/ ad.因此，所以;照着
account/’kaunt/ n.记述;解释;帐目
accumulate/’kju:mjuleit/ vt.积累vi.堆积
accuracy/‘kjursi/ n.准确(性);准确度
accurate/‘kjurit/ a.准确的，正确无误的
accustomed/’kΛstmd/ a.惯常的;习惯的
acid/‘sid/ n.酸;酸的，酸性的
acquaintance/’kweintns/ n.认识;了解;熟人
acquire/’kwai/ vt.取得;获得;学到
acre/‘eik/ n.英亩(=6.07亩)
adapt/’dpt/ vt.使适应;改编
addition/’din/ n.加，加法;附加物
additional/’dinl/ a.附加的，追加的
address/’dres/ n.地址;演说;谈吐
adequate/‘dikwit/ a.足够的;可以胜任的
adjust/’dΛst/ vt.调整，调节;校正
administration/dminis’trein/ n.管理;管理部门
admission/d’min/ n.允许进入;承认
admit/d’mit/ vt.承认;准许…进入
advance/d’va:ns/ vi.前进;提高n.进展
advanced/d’va:nst/ a.先进的;高级的
adventure/d’vent/ n.冒险;惊险活动
advisable/d’vaizbl/ n.明智的;可取的
affair/’fe/ n.事情，事件;事务
affect/’fekt/ vt.影响;感动
affection/’fekn/ n.慈爱，爱;爱慕
afford/’fr:d/ vt.担负得起…;提供
afterward/‘a:ftwd(z)/ ad.后来，以后
age/eid/ vt.变老
aggressive/’gresiv/ a.侵略的;好斗的
aircraft/‘ekra:ft/ n.飞机，飞行器
alarm/’la:m/ n.惊恐，忧虑;警报
alcohol/‘lkhl/ n.酒精，乙醇
alike/’laik/ a.同样的，相同的
alloy/‘li,’li/ n.合金;(金属的)成色
alphabet/‘lfbit/ n.字母表，字母系统
alter/‘:lt/ vt.改变，变更;改做
alternative/:l’t:ntiv/ n.替换物;取舍，抉择
altitude/‘ltitju:d/ n.高，高度;高处
aluminium/lju’minjm/ n.铝
amaze/’meiz/ vt.使惊奇，使惊愕
ambulance/‘mbjulns/ n.救护车;野战医院
amongst/’mΛst/ prep在…之中(=among)
amuse/’mju:z/ vt.逗…乐;给…娱乐
analyse/‘nlaiz/ vt.分析，分解，解析
analysis/’nlsis/ n.分析，分解，解析
ancestor/‘nsist/ n.祖宗，祖先
anchor/‘k/ n.锚vi.抛锚，停泊
ancient/‘einnt/ a.古代的，古老的
ankle/‘kl/ n.踝，踝节部
announce/’nauns/ vt.宣布，宣告，发表
annoy/’ni/ vt.使恼怒;打搅
annual/‘njul/ a.每年的n.年报
anticipate/n’tisipeit/ vt.预料，预期，期望
anxiety/g’zaiti/ n.焦虑，忧虑;渴望
anxious/‘ks/ a.忧虑的;渴望的
apart/’pa:t/ ad.相隔;分开;除去
apologize/’pldaiz/ vi.道歉，谢罪，认错
apparatus/,p’reits/ n.器械，仪器;器官
appeal/’pi:l/ vi.&n.呼吁;申述
appetite/‘pitait/ n.食欲，胃口;欲望
appliance/’plains/ n.用具，器具，器械
applicable/‘plikbl/ a.能应用的;适当的
application/pli’kein/ n.请求，申请;施用
appint/’pint/ vt.任命，委任;约定
appreciate/’pri:ieit/ vt.欣赏;领会;感谢
approval/’pru:vl/ n.赞成，同意;批准
approve/’pru:v/ vt.赞成，称许;批准
approximate/’prksimit/ a.近似的vt.近似
arbitrary/‘a:bitrri/ a.随心所欲的;专断的
architecture/‘a:kitekt/ n.建筑学;建筑式样
argue/‘a:gju:/ vi.争论，争辩，辩论
argument/‘a:gju:mnt/ n.争论，辩论;理由
arise/’raiz/ vi.出现;由…引起
arithmetic/’riθmtik/ n.算术，四则运算
